t,plant,axis,metamer,organ,sucrose,temperature,proteins,amino_acids,day,light,leaf_pseudo_age
78,1,MS,3,hiddenzone,7.16646801,8,9.24080988,0.68124569,4,night,1708474.128
78,1,MS,4,hiddenzone,3.75238564,8,5.58288743,0.35677901,4,night,895474.1281
78,1,MS,5,hiddenzone,0.18895457,8,0.23659342,0.01796565,4,night,99396.06288
79,1,MS,3,hiddenzone,7.26516639,8,9.25731717,0.68290521,4,day,1709597.38
79,1,MS,4,hiddenzone,3.80637335,8,5.59087274,0.35786628,4,day,896597.38
79,1,MS,5,hiddenzone,0.1924452,8,0.23703822,0.01809298,4,day,100519.3148
80,1,MS,3,hiddenzone,7.26853144,8,9.27382767,0.68353315,4,day,1710609.337
80,1,MS,4,hiddenzone,3.8114785,8,5.59886752,0.35840495,4,day,897609.3367
80,1,MS,5,hiddenzone,0.19340239,8,0.23748586,0.01818616,4,day,101531.2715
81,1,MS,3,hiddenzone,7.249695,8,9.29033516,0.68388152,4,day,1711513.431
81,1,MS,4,hiddenzone,3.80344205,8,5.60686769,0.35876283,4,day,898513.4315
81,1,MS,5,hiddenzone,0.19362375,8,0.23793589,0.0182637,4,day,102435.3662
82,1,MS,3,hiddenzone,7.21773464,8,9.30683668,0.68404032,4,day,1712327.975
82,1,MS,4,hiddenzone,3.7883313,8,5.61487109,0.35900429,4,day,899327.9751
82,1,MS,5,hiddenzone,0.19342274,8,0.23838801,0.01832984,4,day,103249.9098
83,1,MS,3,hiddenzone,7.17869119,8,9.32333089,0.68410138,4,day,1713073.281
83,1,MS,4,hiddenzone,3.76935185,8,5.62287651,0.35918099,4,day,900073.281
83,1,MS,5,hiddenzone,0.19297395,8,0.23884199,0.01838844,4,day,103995.2158
84,1,MS,3,hiddenzone,7.13498488,8,9.3398168,0.68410632,4,day,1713786.829
84,1,MS,4,hiddenzone,3.74784537,8,5.63088319,0.35932197,4,day,900786.8292
84,1,MS,5,hiddenzone,0.19237066,8,0.23929773,0.01844337,4,day,104708.764
85,1,MS,3,hiddenzone,7.08849143,8,9.35629329,0.68408755,4,day,1714489.792
85,1,MS,4,hiddenzone,3.72483799,8,5.63889049,0.35944822,4,day,901489.7915
85,1,MS,5,hiddenzone,0.19167947,8,0.23975518,0.01849711,4,day,105411.7263
86,1,MS,3,hiddenzone,7.04259477,8,9.37276064,0.6840307,4,day,1715177.304
86,1,MS,4,hiddenzone,3.70208758,8,5.64689843,0.35955199,4,day,902177.3041
86,1,MS,5,hiddenzone,0.19098709,8,0.24021432,0.0185489,4,day,106099.2388
87,1,MS,3,hiddenzone,6.99565254,8,9.38921842,0.68395749,4,day,1715850.797
87,1,MS,4,hiddenzone,3.67874731,8,5.65490668,0.35964397,4,day,902850.7974
87,1,MS,5,hiddenzone,0.19025072,8,0.24067509,0.01859937,4,day,106772.7322
88,1,MS,3,hiddenzone,6.94685687,8,9.40566686,0.68385216,4,day,1716509.699
88,1,MS,4,hiddenzone,3.6543853,8,5.66291522,0.35971634,4,day,903509.6994
88,1,MS,5,hiddenzone,0.1894474,8,0.24113747,0.01864805,4,day,107431.6342
89,1,MS,3,hiddenzone,6.89834331,8,9.42210525,0.6837509,4,day,1717150.863
89,1,MS,4,hiddenzone,3.6301187,8,5.67092357,0.35978691,4,day,904150.8628
89,1,MS,5,hiddenzone,0.18863267,8,0.2416014,0.01869563,4,day,108072.7976
90,1,MS,3,hiddenzone,6.84920217,8,9.43853306,0.68363889,4,day,1717774.288
90,1,MS,4,hiddenzone,3.60546604,8,5.67893134,0.35984872,4,day,904774.2876
90,1,MS,5,hiddenzone,0.18778165,8,0.24206682,0.01874176,4,day,108696.2224
91,1,MS,3,hiddenzone,6.80066975,8,9.45495082,0.68353893,4,day,1718387.413
91,1,MS,4,hiddenzone,3.58109998,8,5.68693869,0.35991431,4,day,905387.4127
91,1,MS,5,hiddenzone,0.1869344,8,0.24253373,0.01878756,4,day,109309.3474
92,1,MS,3,hiddenzone,6.77320682,8,9.47136375,0.68433901,4,day,1718979.652
92,1,MS,4,hiddenzone,3.56741997,8,5.69494816,0.36044818,4,day,905979.6519
92,1,MS,5,hiddenzone,0.18662792,8,0.24300219,0.0188566,4,day,109901.5867
93,1,MS,3,hiddenzone,6.75183117,8,9.48776904,0.68457159,4,day,1719548.431
93,1,MS,4,hiddenzone,3.55725712,8,5.70295826,0.3606811,4,day,906548.4305
93,1,MS,5,hiddenzone,0.18648809,8,0.24347209,0.0189085,4,day,110470.3653
94,1,MS,3,hiddenzone,6.73216312,8,9.5041663,0.68486631,4,day,1720101.187
94,1,MS,4,hiddenzone,3.54796778,8,5.7109686,0.3609422,4,day,907101.1872
